City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Toktogul,41.8708,72.9402,43.16,42,98,1.34,1616196622
Sayville,40.7359,-73.0821,39.2,28,1,12.66,1616196622
Norman Wells,65.282,-126.8329,-0.4,71,75,20.71,1616196622
Bluff,-46.6,168.3333,57.0,84,97,4.0,1616196623
Busselton,-33.65,115.3333,71.33,43,96,4.05,1616196461
Hermanus,-34.4187,19.2345,64.0,86,100,11.92,1616196623
Batagay-Alyta,67.8006,130.4114,-3.96,76,100,5.03,1616196623
Jamestown,42.097,-79.2353,33.8,37,1,6.15,1616196622
Atuona,-9.8,-139.0333,80.26,74,34,12.3,1616196624
Hualmay,-11.0964,-77.6139,71.67,78,97,10.31,1616196624
Cockburn Town,21.4612,-71.1419,77.0,69,40,10.36,1616196624
Sovetskiy,61.3614,63.5842,19.18,94,91,8.28,1616196625
Bredasdorp,-34.5322,20.0403,62.6,94,100,1.14,1616196625
Çan,40.0333,27.0524,48.99,100,75,2.3,1616196625
Klaksvík,62.2266,-6.589,44.6,100,75,19.57,1616196469
Ushuaia,-54.8,-68.3,44.6,81,75,35.68,1616196453
Kentwood,42.8695,-85.6448,48.99,31,1,10.36,1616196460
Airai,-8.9266,125.4092,68.97,74,20,2.04,1616196626
Amlapura,-8.45,115.6167,80.6,83,40,12.66,1616196626
Ribeira Grande,38.5167,-28.7,60.42,86,99,20.04,1616196348
Boromlya,50.6184,34.9704,31.37,92,96,3.91,1616196626
Castro,-24.7911,-50.0119,63.41,97,16,9.35,1616196516
Lüderitz,-26.6481,15.1594,64.24,76,39,23.76,1616196627
Punta Arenas,-53.15,-70.9167,44.6,81,75,26.46,1616196627
Kingsport,36.5484,-82.5618,51.8,50,75,9.22,1616196627
Guerrero Negro,27.9769,-114.0611,69.62,46,4,16.04,1616196459
Tiksi,71.6872,128.8694,-20.69,92,100,12.59,1616196628
Vangaindrano,-23.35,47.6,74.41,90,100,2.73,1616196628
Los Llanos de Aridane,28.6585,-17.9182,62.6,63,0,9.22,1616196453
Moree,-29.4667,149.85,77.0,61,90,10.36,1616196628
Palekastro,35.2,26.25,57.0,82,99,8.7,1616196629
Qaanaaq,77.484,-69.3632,-6.59,97,100,1.66,1616196629
Port Alfred,-33.5906,26.891,68.65,84,97,13.56,1616196352
Hilo,19.7297,-155.09,78.8,47,90,11.5,1616196625
Pidhorodne,48.5753,35.1068,33.8,75,75,4.47,1616196629
São Filipe,14.8961,-24.4956,71.2,77,13,4.74,1616196486
Puerto Ayora,-0.7393,-90.3518,82.4,74,40,6.91,1616196460
Barrow,71.2906,-156.7887,-5.8,84,90,2.04,1616196630
Cieza,38.24,-1.4199,45.0,95,100,7.45,1616196630
Teya,60.3778,92.6267,24.42,90,100,11.77,1616196630
Hobart,-42.8794,147.3294,64.99,72,75,6.91,1616196631
Arraial do Cabo,-22.9661,-42.0278,77.0,88,20,10.36,1616196631
Tessalit,20.1986,1.0114,67.86,11,0,4.03,1616196343
Port Lincoln,-34.7333,135.8667,73.56,63,0,15.19,1616196631
Aykhal,66.0,111.5,2.43,96,100,13.47,1616196632
Bethel,41.3712,-73.414,36.0,34,7,6.82,1616196632
Mushie,-3.0167,16.9,72.23,95,100,3.31,1616196632
Gobabis,-22.45,18.9667,65.77,78,22,4.45,1616196632
Albany,42.6001,-73.9662,36.0,27,0,5.99,1616196606
Rikitea,-23.1203,-134.9692,81.03,75,94,11.39,1616196633
Cabo San Lucas,22.8909,-109.9124,79.0,25,1,4.25,1616196633
Mahébourg,-20.4081,57.7,77.0,78,75,12.66,1616196633
Leningradskiy,69.3833,178.4167,-13.59,77,98,2.62,1616196471
College,64.8569,-147.8028,14.0,66,20,1.19,1616196479
Vila do Maio,15.1333,-23.2167,71.6,53,0,12.66,1616196634
Jalu,29.0331,21.5482,72.9,18,0,14.09,1616196634
Vikulovo,56.8167,70.6107,22.87,91,100,9.71,1616196634
Brae,60.3964,-1.353,44.6,93,90,18.41,1616196635
Xuanwu,32.069,118.8138,48.2,100,90,4.47,1616196635
Hithadhoo,-0.6,73.0833,82.78,72,100,11.34,1616196635
Moyo,3.6609,31.7247,68.47,80,75,0.34,1616196635
Severo-Kuril'sk,50.6789,156.125,28.09,85,100,19.75,1616196636
Coos Bay,43.3665,-124.2179,53.01,71,75,18.41,1616196395
Abhā,18.2164,42.5053,62.6,82,0,1.66,1616196529
Codrington,-38.2667,141.9667,69.69,65,5,9.62,1616196636
Cape Town,-33.9258,18.4232,66.2,68,20,19.57,1616196637
Thompson,55.7435,-97.8558,51.8,40,75,13.8,1616196609
Tuktoyaktuk,69.4541,-133.0374,-11.2,77,75,10.36,1616196637
Asău,46.4333,26.4,32.0,69,99,0.09,1616196637
Peniche,39.3558,-9.3811,55.99,79,0,15.99,1616196638
Shanting,35.0753,117.4578,43.34,76,100,7.4,1616196638
East London,-33.0153,27.9116,70.81,92,98,13.31,1616196638
Tasiilaq,65.6145,-37.6368,24.8,68,18,14.97,1616196566
Ampanihy,-24.7,44.75,74.25,73,0,1.79,1616196638
Cootehill,54.0725,-7.0819,45.0,90,96,1.01,1616196639
Bengkulu,-3.8004,102.2655,75.87,88,100,3.71,1616196389
Chui,-33.6971,-53.4616,63.27,81,0,7.38,1616196467
Jingdezhen,29.2947,117.2079,52.32,92,88,5.17,1616196639
Souillac,-20.5167,57.5167,77.0,78,75,12.66,1616196533
Saldanha,-33.0117,17.9442,60.8,77,76,8.05,1616196541
Berlevåg,70.8578,29.0864,33.8,80,75,31.07,1616196640
Suntar,62.1444,117.6319,11.86,92,56,8.23,1616196640
Brainerd,46.358,-94.2008,51.8,25,1,17.27,1616196640
Saint-Philippe,-21.3585,55.7679,77.0,78,0,4.61,1616196641
Inírida,3.8653,-67.9239,76.98,83,72,1.83,1616196641
Yellowknife,62.456,-114.3525,28.4,59,90,13.8,1616196641
Ponta Delgada,37.7333,-25.6667,57.2,82,20,8.05,1616196630
Dera Bugti,29.0307,69.151,69.28,30,1,2.64,1616196641
Kaiyuan,23.6977,103.3037,63.32,72,100,3.94,1616196642
Faanui,-16.4833,-151.75,82.9,66,28,7.14,1616196642
Izazi,-7.2,35.7333,62.6,82,1,1.97,1616196642
Pangnirtung,66.1451,-65.7125,-14.8,76,1,3.44,1616196643
Zheleznogorsk,52.331,35.3711,25.5,89,100,3.13,1616196643
Porto Santo,33.072,-16.3415,59.0,67,75,10.36,1616196643
Andenes,69.3143,16.1194,36.0,93,75,21.85,1616196644
Yar-Sale,66.8333,70.8333,-21.46,98,64,8.93,1616196644
